Id,Legal Name,Legal Jurisdiction,Company NUmber
29e0cadd-db9a-45c3-b9cb-6b47ab669a8f,"MUFG Bank, Ltd.",GB,FC004549
aa4a4b68-d7d8-47db-8c21-7fb4ce1155c7,MUFG Securities EMEA PLC,GB,01698498
